artist_name;track_name;release_date;genre;sadness;danceability;acousticness;topic;energy;track_id
gym class heroes;the fighter (feat. ryan tedder);2011;pop;0.0004784689410485;0.5743528647243584;0.0778103190866657;violence;0.926924644693608;t121
nicki minaj;pound the alarm;2011;pop;0.0007112375647198;0.7216506011047331;0.0404608839968714;obscene;0.8588544507095716;t122
lady gaga;judas;2011;pop;0.1876266992087641;0.6490848045055778;0.0009698804918478;violence;0.9379359996027904;t123
mac miller;smile back;2011;pop;0.0004741583879214;0.5104516408534604;0.0002881528997519;obscene;0.8358307086267358;t124
coldplay;every teardrop is a waterfall;2011;pop;0.3751823095006501;0.3934799090219864;0.0019367489324788;sadness;0.7337254176506813;t125
lauren aquilina;king;2012;pop;0.0012531329212273;0.6837430954186072;0.9046183781309016;violence;0.2051803820099286;t126
john mayer;shadow days;2012;pop;0.1329585294783829;0.4963717101700423;0.0738946525046712;world/life;0.5595458036327059;t127
will reagan;set a fire;2012;pop;0.3472317674040218;0.326329470377992;0.0044769121254137;sadness;0.542528255136697;t128
trey songz;heart attack;2012;pop;0.583632272001194;0.591682010180873;0.0595372083706911;sadness;0.8638596120319272;t129
john mayer;the age of worry;2012;pop;0.3029123776278657;0.4833748510776563;0.3433728347116814;sadness;0.3623424475318949;t130
future;turn on the lights;2012;pop;0.0003580379652888;0.578685151088487;0.0410632942402552;obscene;0.5745612875997728;t131
rihanna;right now;2012;pop;0.1465042860480142;0.6425863749593849;0.0356416020498012;night/time;0.6306190944101557;t132
lana del rey;million dollar man;2012;pop;0.2033289320347437;0.3469078306076032;0.4859432589791757;obscene;0.5895767715668396;t133
usher;lemme see (feat. rick ross);2012;pop;0.0025062656898539;0.6436694465504169;0.0263042432773526;violence;0.7257171595349123;t134
tennis;origins;2012;pop;0.0505152280344071;0.559189862449908;0.0464849864307092;world/life;0.8258203859820246;t135
flume;insane;2012;pop;0.0018796993533601;0.3100833965125095;0.0507018581343957;violence;0.5365220615498703;t136
the neighbourhood;wires;2012;pop;0.0012531329008442;0.5321130726741038;0.0004397594776701;violence;0.5875747070378975;t137
one direction;i wish;2012;pop;0.4588221071173224;0.611177298819452;0.0075692847081171;sadness;0.8658616765608694;t138
the lumineers;big parade;2012;pop;0.1687067831854224;0.8147947579334995;0.4186741151346538;violence;0.6346232234680402;t139
one direction;she's not afraid;2012;pop;0.452268805049227;0.4595472760749486;0.0091154709994688;sadness;0.9189163865778388;t140
milo greene;1957;2012;pop;0.6323501405221461;0.3534062601537961;0.6656623149220029;sadness;0.5955829651536664;t141
tyga;make it nasty;2012;pop;0.000619195076445;0.902523556807105;0.1807220689980612;obscene;0.7247161272704413;t142
katy perry;part of me;2012;pop;0.3881848606838723;0.6555832340517709;0.0003544180265241;sadness;0.9229205156357236;t143
the lumineers;dead sea;2012;pop;0.0016447369301846;0.7054045272392505;0.8132528245510288;violence;0.3192980601596366;t144
kelly clarkson;catch my breath;2012;pop;0.3669970463861422;0.6826600238275752;0.0251998244978157;sadness;0.9089060639331276;t145
one direction;more than this;2012;pop;0.3202465590716739;0.4692949203942381;0.0703805927515991;sadness;0.7357274821796236;t146
taylor swift;treacherous;2012;pop;0.074716483034865;0.6913245965558323;0.0855412505434242;violence;0.6095974168562621;t147
one direction;gotta be you;2012;pop;0.3288233819052195;0.481208707895592;0.368473261519339;sadness;0.5995870942115509;t148
maroon 5;payphone;2012;pop;0.0293840780733863;0.7292321022419582;0.0196777306001311;obscene;0.756749159733517;t149
bruno mars;natalie;2012;pop;0.0457852258747734;0.7563088920177624;0.1506015568288723;obscene;0.7337254176506813;t150
christina perri;a thousand years (feat. steve kazee);2012;pop;0.1575585259563336;0.2277699555940648;0.6204815466682196;world/life;0.2812588341097339;t151
taylor swift;stay stay stay;2012;pop;0.1026337339195817;0.720567529513701;0.3022081347471232;night/time;0.7537460629401037;t152
brad knauber;don't mine at night;2012;pop;0.0004873294774308;0.7184013863316365;0.0042660685402294;night/time;0.8528482571227448;t153
one direction;up all night;2012;pop;0.0003898635748627;0.5830174374526157;0.0227901835242806;night/time;0.9329308382804348;t154
set it off;i'll sleep when i'm dead;2012;pop;0.000773993854906;0.3685692624282465;0.0010632540795723;violence;0.9249225801646658;t155
three days grace;chalk outline;2012;pop;0.3656235007306166;0.572186721542294;0.0005682736629253;violence;0.7927863212544776;t156
taylor swift;the last time;2012;pop;0.2512987364227773;0.4747102783493989;0.0369468242437994;night/time;0.4584415449211225;t157
the weeknd;the birds pt. 1;2012;pop;0.3579882406687771;0.5516083613126829;0.0245974142544319;sadness;0.6926830948073653;t158
olivia holt;had me @ hello;2012;pop;0.018082851715768;0.6252572295028702;0.0113443888999888;romantic;0.8838802573213497;t159
saint motel;puzzle pieces;2012;pop;0.4350892946464237;0.5147839272175891;0.1174689934427645;sadness;0.8908874831726475;t160
madilyn bailey;titanium;2012;pop;0.3668505154007641;0.4357197010722409;0.8152608586956414;violence;0.2191948337125243;t161
neck deep;a part of me (ft. laura whiteside);2012;pop;0.3207197681282006;0.36532004765515;0.3323286469163122;sadness;0.8218162569241401;t162
j boog;smoking bomb bud;2012;pop;0.0010319918601001;0.8256254738438212;0.1134529251535393;obscene;0.632621158939098;t163
sleeping with sirens;scene three;2012;pop;0.2570061570838324;0.6252572295028702;0.4347383882915545;world/life;0.4354178028382867;t164
pierce the veil;one hundred sleepless nights;2012;pop;0.2316550310634759;0.1378750135383948;0.0001074298267367;violence;0.934932902809377;t165
nicki minaj;right by my side;2012;pop;0.089302500321062;0.5494422181306184;0.0178704998699797;obscene;0.8588544507095716;t166
the weeknd;same old song;2012;pop;0.0007309941655395;0.7682226795191162;0.4166660809900411;obscene;0.5605468358971771;t167
owl city;good time;2012;pop;0.0007112375793168;0.5353622874472004;0.026203841570122;night/time;0.9049019348752432;t168
meek mill;amen (feat. drake);2012;pop;0.000465766244651;0.4779594931224954;0.1787140348534486;obscene;0.7957894180478909;t169
justin bieber;right here;2012;pop;0.0003706449439883;0.6252572295028702;0.0233925937676644;night/time;0.5705571585418883;t170
one direction;summer love;2012;pop;0.000848896492406;0.4736272067583668;0.3564250566516633;music;0.5935809006247241;t171
one direction;taken;2012;pop;0.3052385067341772;0.4833748510776563;0.0039548232478145;sadness;0.8658616765608694;t172
nicki minaj;roman holiday;2012;pop;0.0005012531726066;0.7974656124769848;0.030822320102731;obscene;0.7437357402953926;t173
