artist_name;track_name;release_year;genre;sadness;danceability;acousticness;topic;track_id
the black keys;breaking down;2019;blues;0.4312541625694047;0.4140582692515975;0.0043463899060139;sadness;t2479
the black keys;sit around and miss you;2019;blues;0.0020242916605036;0.513700855626557;0.3062242030363484;feelings;t2480
leon bridges;that was yesterday;2019;blues;0.1302511939756044;0.3469078306076032;0.9297188049385592;world/life;t2481
deep purple;black night (single version);2019;blues;0.001119820848511;0.4692949203942381;0.0550191315453128;night/time;t2482
thee oh sees;scutum & scorpius;2019;blues;0.0065789474998683;0.3187479692407668;0.0022279138834476;violence;t2483
gary clark jr.;don't wait til tomorrow;2019;blues;0.0006418485931335;0.559189862449908;0.0738946525046712;night/time;t2484
tedeschi trucks band;walk through this life;2019;blues;0.3111015869935173;0.6003465829091303;0.4036138590500593;sadness;t2485
thee oh sees;snickersnee;2019;blues;0.2013954284068471;0.4465504169825626;0.1415654031781156;violence;t2486
thee oh sees;the experimenter;2019;blues;0.0026315790155235;0.5310300010830717;0.0095471983405605;violence;t2487
shovels & rope;c'mon utah!;2019;blues;0.0009930487105462;0.4703779919852703;0.0692761739720622;violence;t2488
north mississippi allstars;what you gonna do?;2019;blues;0.0011961723404209;0.7400628181522799;0.3895576200377711;violence;t2489
thee oh sees;gholü;2019;blues;0.0025062656797114;0.1855301635438103;1.807230730151336e-05;violence;t2490
gary clark jr.;got to get up;2019;blues;0.0019493177496993;0.3425755442434745;0.0409628925330246;violence;t2491
thee oh sees;fu xi;2019;blues;0.0052631587067017;0.4714610635763026;0.008191775292947;violence;t2492
thee oh sees;together tomorrow;2019;blues;0.0037593986824396;0.4866240658507528;0.0076998069275169;obscene;t2493
the heavy;burn bright;2019;blues;0.3196522690418411;0.6577493772338353;0.0748986695769775;sadness;t2494
tedeschi trucks band;shame;2019;blues;0.3315061702076953;0.2840896783277375;0.4216861663515726;sadness;t2495
ty segall;whatever;2019;blues;0.0030959753032831;0.5635221488140367;0.001173695957526;violence;t2496
thee oh sees;psy-ops dispatch;2019;blues;0.001697793007344;0.2071915953644536;0.0152600554819834;violence;t2497
santana;blue skies;2019;blues;0.1878625215592131;0.4205566987977905;0.3694772785916452;music;t2498
gary clark jr.;the governor;2019;blues;0.0020242915745667;0.5505252897216506;0.3704812956639515;world/life;t2499
the heavy;heavy for you;2019;blues;0.0158230927978961;0.3317448283331528;0.0465853881379398;obscene;t2500
kongos;i forgot to;2019;blues;0.0008488964524554;0.6902415249648003;0.1937742909380431;world/life;t2501
tedeschi trucks band;signs, high times;2019;blues;0.0005109862329738;0.5386115022202967;0.1917662567934305;night/time;t2502
jamie n commons;heartbreak;2019;blues;0.0866869200837729;0.6360879454131919;0.0112439871927582;world/life;t2503
ty segall;i sing them;2019;blues;0.0006925208255349;0.3090003249214774;0.0845372334711179;music;t2504
rival sons;feral roots;2019;blues;0.0009398497106435;0.4476334885735947;0.1757019836365297;music;t2505
black pistol fire;pick your poison;2019;blues;0.0007974481877642;0.4747102783493989;0.0037038189797379;violence;t2506
thee oh sees;the daily heavy;2019;blues;0.0562332646235585;0.4573811328928843;0.0148584486530608;world/life;t2507
thank you scientist;make like a tree (get out);2011;jazz;0.0798418833628406;0.5841005090436479;0.0225893801098193;violence;t2508
the dear hunter;lillian;2011;jazz;0.3526856190394463;0.3317448283331528;0.0155612606036753;sadness;t2509
michael franks;one day in st. tropez;2011;jazz;0.0105263158693403;0.8451207624824002;0.7871483806710651;music;t2510
thievery corporation;false flag dub;2011;jazz;0.0052631579059164;0.759558106790859;0.088854506882035;violence;t2511
gretchen parlato;holding back the years;2011;jazz;0.1267802449045426;0.5191162135817179;0.7811242782372273;romantic;t2512
uneven structure;awaken;2011;jazz;0.463937532946607;0.2570128885519332;6.85743660385201e-05;sadness;t2513
parov stelar;le piaf;2011;jazz;0.1057998663250053;0.7682226795191162;0.0073383607814867;violence;t2514
the dear hunter;filth and squalor;2011;jazz;0.2630567315928002;0.5537745044947471;0.0003634541801748;violence;t2515
tesseract;lament;2011;jazz;0.5265180341644307;0.248348315823676;0.0020572309811556;sadness;t2516
tesseract;origin;2011;jazz;0.4109691427497234;0.5028701397162353;0.0001275101681828;sadness;t2517
second date;young, beautiful etc.;2011;jazz;0.0012836971717277;0.7530596772446659;0.2198787348180068;world/life;t2518
thievery corporation;overstand;2011;jazz;0.0009569378291873;0.8732806238492365;0.1275091641658274;world/life;t2519
dj shadow;i gotta rokk;2011;jazz;0.000809716600909;0.4497996317556592;5.0702862151468025e-05;obscene;t2520
the dear hunter;never forgive, never forget;2011;jazz;0.1677649075301514;0.4573811328928843;0.0007249003262051;violence;t2521
jo stafford;serenade of the bells;2011;jazz;0.214271880717752;0.2201884544568396;0.9427710268785412;music;t2522
tesseract;perfection;2011;jazz;0.0029239767359699;0.125961226037041;0.0001184740145321;world/life;t2523
sound nomaden;the trumpet;2011;jazz;0.0140938372534246;0.7389797465612479;0.0113443888999888;obscene;t2524
kool&klean;i smile;2011;jazz;0.441453754676315;0.6869923101917037;0.223894803107232;sadness;t2525
the dear hunter;she's always singing;2011;jazz;0.0019493177468326;0.5321130726741038;0.0007098400701205;music;t2526
ry cooder & v.m. bhatt;ganges delta blues;2011;jazz;0.000572082391715;0.3165818260587025;0.6997988953804172;world/life;t2527
tesseract;eden;2011;jazz;0.4363762386598535;0.3219971840138633;0.0004447795630316;sadness;t2528
ibrahim maalouf;beirut;2011;jazz;0.0860165543194991;0.2147730965016788;0.675702485645066;obscene;t2529
devin townsend project;fly;2011;jazz;0.0030959752736795;0.3414924726524423;0.7811242782372273;world/life;t2530
devin townsend project;juular;2011;jazz;0.0007412898712473;0.4497996317556592;7.710851115312366e-05;music;t2531
jehro;tonight tonight;2011;jazz;0.1136121704195499;0.7530596772446659;0.6937747929465793;night/time;t2532
cindy bradley;a new day;2011;jazz;0.0568657657664954;0.6999891692840897;0.5692766759805985;world/life;t2533
between the buried and me;lunar wilderness;2011;jazz;0.0911280024026721;0.1931116646810354;0.0003825305045486;violence;t2534
boney james;cry;2011;jazz;0.5330545042221847;0.5862666522257122;0.881525985467857;sadness;t2535
adani & wolf;wings of santa lucia;2011;jazz;0.0008771930251793;0.6220080147297737;0.3674692444470326;violence;t2536
the dear hunter;tripping in triplets;2011;jazz;0.278606812794809;0.2635113180981263;0.8704817976724877;violence;t2537
tower of power;it's not the crime;2011;jazz;0.00128369712903;0.5418607169933933;0.2570273664933398;obscene;t2538
richard elliot;just a taste;2011;jazz;0.0008771930292474;0.6566663056428029;0.5502003516067787;obscene;t2539
shakatak;waterfall;2011;jazz;0.0006925208036657;0.578685151088487;0.5080316345699143;obscene;t2540
gil scott-heron;the crutch;2011;jazz;0.2730030410771157;0.7086537420123471;0.0050994027102436;violence;t2541
the dear hunter;deny it all;2011;jazz;0.5234706092152133;0.1032167226253655;0.0003293175997164;sadness;t2542
tesseract;nascent;2011;jazz;0.3525776462891595;0.4703779919852703;0.0012740976647566;sadness;t2543
the dear hunter;echo;2011;jazz;0.0018148821827245;0.2386006715043864;0.0008915671602079;violence;t2544
the dear hunter;we've got a score to settle;2011;jazz;0.0015037594587988;0.4497996317556592;0.0001877511925212;violence;t2545
terrace martin;do it again;2011;jazz;0.0004498425827599;0.8581176215747863;0.1224890788042959;obscene;t2546
wynton marsalis;ice cream;2011;jazz;0.0015037593984962;0.5234484999458465;0.5512043686790851;violence;t2547
helen kane;i wanna be loved by you;2011;jazz;0.0015948963856154;0.6230910863208059;0.8734938488894066;romantic;t2548
bebo best;sing sing sing;2011;jazz;0.0010741139102808;0.9306834181739412;0.0025190788344165;music;t2549
tesseract;sunrise;2011;jazz;0.508384064820018;0.5050362828982996;0.0001626507657136;sadness;t2550
